title,时效性,效力位阶,制定机关,发文字号,公布日期,实施日期,原文链接
邯郸市人民政府办公厅关于印发邯郸市国民经济和社会发展第十二个五年规划纲要的通知,现行有效,地方工作文件,邯郸市人民政府,,2011.04.22,2011.04.22,https://www.pkulaw.com/lar/556673d86c77243642013cc6f4150756bdfb.html
新疆维吾尔自治区林业厅关于开展《全区林业系统人才队伍建设“十二五”规划》编制调研工作的通知,现行有效,地方工作文件,新疆维吾尔自治区林业厅,新林传发〔2011〕51号,2011.05.04,2011.05.04,https://www.pkulaw.com/lar/3d46d01d4d7e3f54ce851a9aaa6d01e3bdfb.html
厦门市人民政府办公厅关于印发厦门市财政第十二个五年发展规划的通知,现行有效,地方工作文件,厦门市人民政府,厦府办〔2011〕101号,2011.05.12,2011.05.12,https://www.pkulaw.com/lar/21b6fbee014ce0ca78bad13d87bc1275bdfb.html
广州市人民政府印发广州区域金融中心建设规划(2011―2020年)的通知,现行有效,地方工作文件,广州市人民政府,穗府〔2011〕8号,2011.05.19,2011.05.19,https://www.pkulaw.com/lar/0ef857c0d1b6c2f540d386f190b4e8eabdfb.html
"青岛市人民政府国有资产监督管理委员会关于印发《青岛市国有企业“十二五”期间转方式、调结构,实现科学发展规划纲要》的通知",现行有效,地方工作文件,青岛市人民政府国有资产监督管理委员会,青国资委[2011]31号,2011.05.29,2011.05.29,https://www.pkulaw.com/lar/5917ecff09da970ea754fcbe2409b997bdfb.html
成都市劳动和社会保障局关于印发《2010年成都市人才资源状况报告》和《2011年成都市重点产业和新兴产业人才开发目录》的通知,现行有效,地方工作文件,成都市劳动和社会保障局,,2011.05.30,2011.05.30,https://www.pkulaw.com/lar/deb4b678ceecc5fd8020a880298e83e6bdfb.html
阜阳市人民政府办公室关于推进城市商贸服务业发展示范区建设的意见,废止或失效,地方工作文件,阜阳市人民政府,阜政办〔2011〕29号,2011.06.04,2011.06.04,https://www.pkulaw.com/lar/6e1289f3016bb664992fd1ec91e7f554bdfb.html
浙江省人民政府关于印发浙江省十二五物流业发展规划的通知,现行有效,地方工作文件,浙江省人民政府,浙政发〔2011〕41号,2011.06.14,2011.06.14,https://www.pkulaw.com/lar/bf357f0d72ab768976b0160144a3c972bdfb.html
昆明市人民政府办公厅关于印发昆明市拓展高端信息化指导意见和昆明市物联网产业发展规划纲要(2011—2015年)的通知,废止或失效,地方工作文件,昆明市人民政府,昆政办〔2011〕84号,2011.06.24,2011.06.24,https://www.pkulaw.com/lar/d12257a4bc44015719c1fb4885d7b136bdfb.html
雅安市人民代表大会常务委员会关于审议《中华人民共和国农业技术推广法》实施情况报告的意见,现行有效,地方工作文件,雅安市人大(含常委会),,2011.06.30,2011.06.30,https://www.pkulaw.com/lar/69b1292cbd7fcc0fe2e9b37b0c7a3823bdfb.html
中共上海市教育卫生工作委员会、上海市教育委员会关于印发《上海教育人才“十二五”发展规划纲要》的通知,现行有效,地方工作文件,上海市教育卫生工作委员会;上海市教育委员会,沪教委人〔2011〕40号,2011.07.01,2011.07.01,https://www.pkulaw.com/lar/576acb4b18eed7843b57b199cd331de5bdfb.html
嘉兴市人民政府办公室关于印发嘉兴市人力资源和社会保障局主要职责内设机构和人员编制规定的通知,现行有效,地方工作文件,嘉兴市人民政府,嘉政办发〔2011〕95号,2011.07.05,2011.07.05,https://www.pkulaw.com/lar/039b84118b0fab368c35c4c7332ef81ebdfb.html
中共渭南高新区工委、渭南高新区管委会关于印发渭南高新技术产业开发区人才特区建设规划(2011―2015)的通知,现行有效,地方工作文件,中共渭南高新区工委;渭南高新技术产业开发区管理委员会,,2011.07.07,2011.07.07,https://www.pkulaw.com/lar/43d8be73c5978db93b0ddafae1fb06efbdfb.html
重庆市职称改革办公室关于组织开展2011年全市专业技术资格申报评审工作的通知,现行有效,地方工作文件,重庆市职称改革办公室,渝职改办〔2011〕128号,2011.07.19,2011.07.19,https://www.pkulaw.com/lar/24dfa15e34755628bc2e8f87505d8177bdfb.html
东莞市人民政府关于印发《东莞市先进制造业发展“十二五”规划》的通知,废止或失效,地方工作文件,东莞市人民政府,东府办〔2011〕92号,2011.07.20,2011.07.20,https://www.pkulaw.com/lar/6e2fa2ca4001a4a7778b0b1295034e64bdfb.html
广州市人民政府印发广州国家创新型城市建设总体规划(2011―2015年)的通知,现行有效,地方工作文件,广州市人民政府,穗府〔2011〕14号,2011.08.11,2011.08.11,https://www.pkulaw.com/lar/cb4cc73bd5a13d07cec74b92c5477f7bbdfb.html
大连市人民政府办公厅关于印发大连市中长期教育改革和发展规划纲要(2010—2020年)任务分工的通知,现行有效,地方工作文件,大连市人民政府,大政办发〔2011〕92号,2011.08.16,2011.08.16,https://www.pkulaw.com/lar/1d7449cc3c4ca8d9feaf76fce9d06bbabdfb.html
中共宁夏区委组织部、自治区人力资源和社会保障厅关于开展高层次人才引进工作先进单位和先进个人评选表彰活动的通知,现行有效,地方工作文件,宁夏回族自治区人力资源和社会保障厅,宁人社发〔2011〕234号,2011.08.16,2011.08.16,https://www.pkulaw.com/lar/4f21c90c580d08ffd37b6fbe6c581a88bdfb.html
海口市人民政府关于印发我市“十二五”知识产权发展规划的通知,废止或失效,地方工作文件,海口市人民政府,,2011.08.24,2011.08.24,https://www.pkulaw.com/lar/e36f0a5c4583d5fb96817cfce44af281bdfb.html
广州市人民政府关于进一步加强招商引资促进产业转型升级的指导意见,现行有效,地方工作文件,广州市人民政府,穗府〔2011〕15号,2011.08.26,2011.08.26,https://www.pkulaw.com/lar/4feac971375fcd2b00e28056c315326fbdfb.html
泉州市人民政府关于印发《“十二五”“智能泉州”建设专项规划》的通知,现行有效,地方工作文件,泉州市人民政府,泉政文[2011]211号,2011.08.28,2011.08.28,https://www.pkulaw.com/lar/8d4c276338d371787647fd9d84451d74bdfb.html
西安市人民政府办公厅关于印发西安统筹科技资源改革示范基地建设规划的通知,现行有效,地方工作文件,西安市人民政府,市政办发〔2011〕147号,2011.08.29,2011.08.29,https://www.pkulaw.com/lar/b7ffae536ce958b6298d1b85d9afd49fbdfb.html
北京市人民政府关于印发北京市“十二五”时期科技北京发展建设规划的通知,废止或失效,地方工作文件,北京市人民政府,京政发〔2011〕46号,2011.09.01,2011.09.01,https://www.pkulaw.com/lar/29a1a5167367b3e368677166a23be227bdfb.html
河北省环境保护厅关于印发《河北省环境保护“十二五”科技专项规划》的通知,现行有效,地方工作文件,河北省环境保护厅,冀环科〔2011〕276号,2011.09.15,2011.09.15,https://www.pkulaw.com/lar/e5ba4828b99683327e5adaa0c4483f87bdfb.html
上海市徐汇区人民政府关于印发徐汇区深化医药卫生体制改革近期重点实施方案的通知,现行有效,地方工作文件,上海市徐汇区人民政府,徐府发〔2011〕30号,2011.09.16,2011.09.16,https://www.pkulaw.com/lar/7ce5d88b0af7890d26e95cc42a9692acbdfb.html
